"status","description","time_occurred","case_no","time_reported","location","date"
"Closed","-Larceny","1:00 p.m. to 5:00 p.m.","2015-01477","5:51 p.m.","Trent Hall Exterior","Sept.  09, 2015"
"Closed-SC","-Underage consumption","12:57 a.m. to time reported","2015-01478","12:59 a.m.","304 Anderson St.","Sept.  10, 2015"
"Closed-SC","-Student alcohol violation","09/04/15 at 11:00 p.m.","Student Conduct Report","10:30 a.m.","215 Anderson St.","Sept.  10, 2015"
"Unfounded","-Larceny","11:00 a.m. to 1:45 p.m.","2015-01482","2:00 p.m.","Duke Hospital North","Sept.  10, 2015"
"Exceptionally Cleared","-Assault on emergency medical personnel","Same","2015-01488","11:45 a.m.","Duke Hospital North ED","Sept.  11, 2015"
"Closed","-Larceny","09/10/15 at 10:00 a.m. to 5:00 p.m.","2015-01490","3:04 p.m.","Social Sciences Bldg. Exterior","Sept.  11, 2015"
"Exceptionally Cleared","-Weapon on campus","4:29 p.m.","2015-01491","4:54 p.m.","Duke Hospital North ED","Sept.  11, 2015"
"Closed-SC","-Student alcohol violation (4 students)","10:40 p.m.","Student Conduct Report","10:57 p.m.","Blackwell Dorm","Sept.  11, 2015"
"Closed-SC","-Underage consumption","Same","2015-01494","12:54 a.m.","Bell Tower Dorm","Sept.  12, 2015"
"Unfounded","-Larceny","11:00 a.m.","2015-01497","6:42 p.m.","Duke Hospital North ED","Sept.  12, 2015"
"Exceptionally Cleared","-Weapon on campus","Same","2015-01499","7:35 p.m.","Duke Hospital North ED","Sept.  12, 2015"
"Closed-SC","-Student alcohol violation","10:20 p.m.","Student Conduct Report","10:39 p.m.","Southgate Dorm","Sept.  12, 2015"
"Closed-SC","-Student alcohol violation (7 students)","11:15 p.m.","Student Conduct Report","11:50 p.m.","Blackwell Dorm","Sept.  12, 2015"
"Closed-SC","-Underage consumption","12:15 a.m.","2015-01500","12:16 a.m.","East Bus Stop","Sept.  13, 2015"
"Closed-SC","-Student alcohol violation","12:25 a.m.","Student Conduct Report","12:47 a.m.","Giles Dorm","Sept.  13, 2015"
"Closed-SC","-Underage consumption","Same","2015-01501","2:35 a.m.","3A Dorm","Sept.  13, 2015"
"Closed-SC","-Larceny","5:30 p.m. to 5:40 p.m.","2015-01504","5:43 p.m.","Campus Dr./Swift Ave.","Sept.  13, 2015"
"Exceptionally Cleared","-Possession of marijuana","08/30/15 at 9:00 p.m.","2015-01405","12:01 a.m.","Duke Hospital North ED","Aug.  31, 2015"
"Closed","-Larceny","08/22/15 at 2:00 p.m. thru 3:00 p.m.","2014-01408","1:07 p.m.","House F","Aug.  31, 2015"
"Closed","-Larceny","9:30 a.m. to 4:00 p.m.","2015-01411","4:23 p.m.","Washington Duke Inn Parking Lot","Aug.  31, 2015"
"Arrest (09/01/15)","-Stalking","08/24/15 at 8:57 a.m.","2015-01352","10:37 a.m.","Duke South Clinics","Sept.  01, 2015"
"Arrest","-B&amp;E to bldg.","8:43 a.m.","2015-01414","8:44 a.m.","House 4B Dorm","Sept.  01, 2015"
"Exceptionally Cleared","-Assault on emergency medical personnel","9:25 a.m.","2015-01415","10:50 a.m.","Duke Hospital North ED","Sept.  01, 2015"
"Closed","-Larceny","9:45 a.m. to 12:15 p.m.","2015-01416","12:30 p.m.","Cancer Center Isolation Facility","Sept.  01, 2015"
"Unfounded (09/18/15)","-Larceny","08/30/15 at 9:45 p.m. to time reported","2015-01417","1:30 p.m.","Duke Medicine Pavilion","Sept.  01, 2015"
"Pending","-Larceny","3:15 p.m. to 3:16 p.m.","2015-01418","3:32 p.m.","Cancer Center Isolation Facility","Sept.  01, 2015"
"Closed-SC","-Student alcohol violations (7 students)","12:00 a.m.","Student Conduct Report","10:45 p.m.","Gilbert Addoms Dorm","Sept.  01, 2015"
"Pending","-Robbery","12:00 a.m.","2015-01421","12:03 a.m.","1901 Erwin Rd.","Sept.  02, 2015"
"Closed-SC","-Student alcohol violation (6 students)","09/01/15 at 11:40 p.m.","Student Conduct Report","12:38 a.m.","Gilbert Addoms Dorm","Sept.  02, 2015"
"Exceptionally Cleared","-Assault on emergency medical personnel","Same","2015-01422","9:54 a.m.","Duke Hospital North","Sept.  02, 2015"
"Unfounded (09/04/15)","-Larceny","11:00 a.m. to 11:30 a.m.","2015-01424","11:32 a.m.","Duke Hospital North","Sept.  02, 2015"
"Closed","-Stalking","7:00 a.m. to 2:23 p.m.","2015-01426","1:16 p.m.","Duke Hospital North","Sept.  02, 2015"
"Closed","-Larceny","10:15 a.m. to 1:20 p.m.","2015-01427","2:16 p.m.","House P","Sept.  02, 2015"
"Closed","-Larceny","09/01/15 at 9:00 p.m. to time reported","2015-01429","7:18 p.m.","Duke Hospital North","Sept.  02, 2015"
"Closed","-Injury to personal property","12:00 a.m. to 7:50 p.m.","2015-01430","8:11 p.m.","H Lot","Sept.  02, 2015"
"Arrest (09/10/15)","-Larceny","11:30 a.m. to 1:15 p.m.","2015-01431","8:53 p.m.","House P","Sept.  02, 2015"
"Closed-SC","-Tampering with fire equipment","11:23 p.m.","2015-01432","11:24 p.m.","Bassett Dorm","Sept.  02, 2015"
"Closed-SC","-Student alcohol violation (4 students)","10:10 p.m.","Student Conduct Report","11:31 p.m.","Bell Tower Dorm","Sept.  02, 2015"
"Exceptionally Cleared (09/10/15)","-Sexual assault by acquaintance","09/01/15 at 2:00 a.m. to time reported","2015-01433","11:45 p.m.","Wannamaker Dorm","Sept.  02, 2015"
"Closed-SC","-Underage consumption","12:54 a.m.","2015-01434","12:55 a.m.","East Bus Stop","Sept.  03, 2015"
"Closed","-Injury to personal property","09/02/15 at 8:00 a.m. to 4:00 p.m.","2015-01435","7:53 a.m.","Parking Garage 2","Sept.  03, 2015"
"Closed","-Larceny","08/27/15 at 12:07 p.m. to 09/02/15 at 5:00 p.m.","2015-01437","4:24 p.m.","House L","Sept.  03, 2015"
"Closed","-Larceny","08/31/15 at 12:00 p.m. to 09/02/15 at 5:00 p.m.","2015-01438","5:19 p.m.","Duke Hospital North","Sept.  03, 2015"
"Closed","-Larceny","09/01/15 at 11:00 p.m. to time reported","2015-01439","7:09 p.m.","Perkins Library","Sept.  03, 2015"
"Closed-SC","-Underage consumption ( 2 students)","09/03/15 at 11:59 p.m.","2015-01440","12:00 a.m.","Blackwell Dorm","Sept.  04, 2014"
"Closed-SC","-Student alcohol violation (6 students)","12:00 a.m.","Student Conduct Report","12:50 a.m.","House T","Sept.  04, 2014"
"Closed","-Indecent exposure","6:35 a.m.","2015-01441","6:51 a.m.","East Jogging Trail","Sept.  04, 2014"
"Closed","-Larceny","09/03/15 at 9:00 a.m. to 7:00 p.m.","2015-01442","8:35 a.m.","Duke Medicine Pavilion","Sept.  04, 2014"
"Exceptionally Cleared","-Possession of drug paraphernalia","Same","2015-01444","3:26 p.m.","Duke Hospital North ED","Sept.  04, 2014"
"Closed","-Student drug violation","10:20 p.m.","Student Conduct Report","10:55 p.m.","House T","Sept.  04, 2014"
"Closed-SC","-Underage consumption","11:15 p.m.","2015-01446","11:16 p.m.","206 Oregon St.","Sept.  04, 2014"
"Closed-SC","-Underage consumption","12:41 a.m.","2015-01445","12:42 a.m.","Bassett Dorm","Sept.  05, 2015"
"Closed-SC","-Student drug violation (4 students)","09/04/15 at 11:30 p.m.","Student Conduct Report","1:16 a.m.","House D","Sept.  05, 2015"
"Closed-SC","-Student drug violation (2 students)","1:38 a.m.","Student Conduct Report","2:33 a.m.","House F","Sept.  05, 2015"
"Arrest","-Driving while impaired","3:48 a.m. to 3:49 a.m.","2015-01447","3:49 a.m.","Duke University Rd./Anderson St.","Sept.  05, 2015"
"Exceptionally Cleared","-Robbery","Same","2015-01448","9:06 a.m.","Duke Hospital North","Sept.  05, 2015"
"Closed-SC","-Student alcohol violation","11:31 p.m.","Student Conduct Report","11:58 p.m.","East House","Sept.  05, 2015"
"Closed-SC","-Underage consumption","Same","2015-01449","12:30 a.m.","Wannamaker Fire Ln.","Sept.  06, 2015"
"Closed-SC","-Student drug violation","09/05/15 at 11:10 a.m.","Student Conduct Report","2:35 a.m.","House W","Sept.  06, 2015"
"Closed-SC","-Underage consumption","Same","2015-01450","2:37 a.m.","312 Anderson St.","Sept.  06, 2015"
"Closed-SC","-Underage consumption","Same","2015-01451","2:38 a.m.","Giles Dorm","Sept.  06, 2015"
"Closed-SC","-Underage consumption","Same","2015-01452","2:41 a.m.","West Duke Bldg. Exterior","Sept.  06, 2015"
"Closed-SC","-Student drug violation","09/05/15 at 11:48 p.m.","Student Conduct Report","3:23 a.m.","House T","Sept.  06, 2015"
"Closed","-Larceny","2:30 p.m. to 3:00 p.m.","2015-01453","5:52 p.m.","Duke Hospital North","Sept.  06, 2015"
